event,node,start,end
form start,,1606799410130,
question,/aJk5WxahkyLEH5GCkQKkND/enumerator_id,1606799410134,1606799453244
question,/aJk5WxahkyLEH5GCkQKkND/province,1606799453260,1606799464698
question,/aJk5WxahkyLEH5GCkQKkND/district,1606799464758,1606799470086
question,/aJk5WxahkyLEH5GCkQKkND/village,1606799470113,1606799474954
question,/aJk5WxahkyLEH5GCkQKkND/settlement_name,1606799474969,1606799498300
question,/aJk5WxahkyLEH5GCkQKkND/iset_code,1606799498313,1606799593146
question,/aJk5WxahkyLEH5GCkQKkND/location,1606799593161,1606799596157
question,/aJk5WxahkyLEH5GCkQKkND/mapping,1606799596171,1606799603493
question,/aJk5WxahkyLEH5GCkQKkND/intro,1606799603508,1606799604708
question,/aJk5WxahkyLEH5GCkQKkND/consent,1606799604722,1606799606804
question,/aJk5WxahkyLEH5GCkQKkND/ki_gender,1606799606820,1606799609388
question,/aJk5WxahkyLEH5GCkQKkND/ki_age,1606799609401,1606799611716
question,/aJk5WxahkyLEH5GCkQKkND/ki_1_role,1606799611730,1606799613651
question,/aJk5WxahkyLEH5GCkQKkND/ki_1_phone,1606799613666,1606799619075
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/popn_note,1606799619089,1606799620349
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/iset_population,1606799620363,1606799624480
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606799624495,1606799637166
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/protracted_hhs,1606799637179,1606799645272
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_3mo_hhs,1606799645286,1606799650676
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/protracted_hhs,1606799650692,1606799654434
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606799654449,1606799667022
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/protracted_hhs,1606799667037,1606799831119
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_3mo_hhs,1606799831132,1606799835130
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_hhs,1606799835144,1606799838010
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_3mo_hhs,1606799838024,1606799844258
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/host_hhs,1606799844273,1606799851331
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/vuln_note,1606799851346,1606799857353
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/disability,1606799857368,1606799862459
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/chronic_ill,1606799862473,1606799865203
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/elderly,1606799865217,1606799872194
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/female_hoh,1606799872209,1606799878852
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/ethnic_groups,1606799878867,1606799904247
question,/aJk5WxahkyLEH5GCkQKkND/intentions/five_years,1606799904262,1606799906825
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/ethnic_groups,1606799906837,1606799910946
question,/aJk5WxahkyLEH5GCkQKkND/intentions/five_years,1606799910962,1606799928122
question,/aJk5WxahkyLEH5GCkQKkND/intentions/relocate_plan,1606799928136,1606799931460
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_note,1606799931474,1606799932602
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_aware,1606799932616,1606799995282
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_concern,1606799995298,1606800130275
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_prevent,1606800130291,1606800136391
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_safeprac,1606800136407,1606800148671
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_info,1606800148687,1606800168451
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_note,1606800168466,1606800169726
question,/aJk5WxahkyLEH5GCkQKkND/wash/tap_sanitize,1606800169743,1606800182950
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_gbv,1606800182965,1606800184318
question,/aJk5WxahkyLEH5GCkQKkND/wash/tap_sanitize,1606800184331,1606800187430
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_gbv,1606800187444,1606800196907
question,/aJk5WxahkyLEH5GCkQKkND/wash/handwash_location,1606800196922,1606800209671
question,/aJk5WxahkyLEH5GCkQKkND/wash/water_distancing,1606800209686,1606800210613
question,/aJk5WxahkyLEH5GCkQKkND/wash/handwash_location,1606800210626,1606800211882
question,/aJk5WxahkyLEH5GCkQKkND/wash/water_distancing,1606800211897,1606800220833
question,/aJk5WxahkyLEH5GCkQKkND/wash/soap_avail,1606800220848,1606800226789
question,/aJk5WxahkyLEH5GCkQKkND/wash/water_barrier,1606800226803,1606800546682
question,/aJk5WxahkyLEH5GCkQKkND/health/health_note,1606800546691,1606800593071
question,/aJk5WxahkyLEH5GCkQKkND/health/outbreak,1606800593083,1606800597978
question,/aJk5WxahkyLEH5GCkQKkND/health/health_distance,1606800597993,1606800605236
question,/aJk5WxahkyLEH5GCkQKkND/health/health_use,1606800605251,1606800612728
question,/aJk5WxahkyLEH5GCkQKkND/health/covid_coping,1606800612743,1606800613636
question,/aJk5WxahkyLEH5GCkQKkND/health/health_use,1606800613651,1606800615021
question,/aJk5WxahkyLEH5GCkQKkND/health/health_barrier,1606800615037,1606800639741
