event,node,start,end
form start,,1606813900968,
question,/aJk5WxahkyLEH5GCkQKkND/enumerator_id,1606813900969,1606813904279
question,/aJk5WxahkyLEH5GCkQKkND/province,1606813904284,1606813907291
question,/aJk5WxahkyLEH5GCkQKkND/district,1606813907364,1606813910181
question,/aJk5WxahkyLEH5GCkQKkND/village,1606813910233,1606813932358
question,/aJk5WxahkyLEH5GCkQKkND/settlement_name,1606813932363,1606813946063
question,/aJk5WxahkyLEH5GCkQKkND/iset_code,1606813946067,1606813995301
question,/aJk5WxahkyLEH5GCkQKkND/location,1606813995307,1606814007797
question,/aJk5WxahkyLEH5GCkQKkND/mapping,1606814007802,1606814012020
question,/aJk5WxahkyLEH5GCkQKkND/intro,1606814012024,1606814014158
question,/aJk5WxahkyLEH5GCkQKkND/consent,1606814014163,1606814016782
question,/aJk5WxahkyLEH5GCkQKkND/ki_gender,1606814016788,1606814020682
question,/aJk5WxahkyLEH5GCkQKkND/ki_age,1606814020687,1606814023023
question,/aJk5WxahkyLEH5GCkQKkND/ki_1_role,1606814023028,1606814025806
question,/aJk5WxahkyLEH5GCkQKkND/ki_1_phone,1606814025811,1606814034307
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/popn_note,1606814034312,1606814035890
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/iset_population,1606814035895,1606814055464
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606814055469,1606814112021
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814112028,1606814199568
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814199573,1606814240503
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_3mo_hhs,1606814240508,1606814262909
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_prov_origin,1606814262914,1606814269846
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_hhs,1606814269851,1606814281164
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_3mo_hhs,1606814281170,1606814288127
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_hhs,1606814288132,1606814292024
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_3mo_hhs,1606814292030,1606814298573
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_origin,1606814298579,1606814317097
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/returnee_iran_prov,1606814317102,1606814334428
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/recentreturn_challenge,1606814334434,1606814369290
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/host_hhs,1606814369295,1606814394919
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/vuln_note,1606814394924,1606814396331
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/disability,1606814396336,1606814409005
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/chronic_ill,1606814409010,1606814440033
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/elderly,1606814440040,1606814446867
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/female_hoh,1606814446873,1606814455643
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/ethnic_groups,1606814455649,1606814466101
question,/aJk5WxahkyLEH5GCkQKkND/intentions/five_years,1606814466106,1606814482332
question,/aJk5WxahkyLEH5GCkQKkND/intentions/relocate_plan,1606814482337,1606814487811
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_note,1606814487816,1606814489014
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_aware,1606814489019,1606814494381
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_concern,1606814494387,1606814505160
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_prevent,1606814505165,1606814508308
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_safeprac,1606814508314,1606814518441
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_info,1606814518447,1606814539779
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_note,1606814539785,1606814541069
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_points,1606814541073,1606814544955
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_type,1606814544960,1606814550092
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_distancing,1606814550096,1606814556745
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_type,1606814556750,1606814559988
