event,node,start,end
form start,,1606813903737,
question,/aJk5WxahkyLEH5GCkQKkND/enumerator_id,1606813903739,1606813905854
question,/aJk5WxahkyLEH5GCkQKkND/province,1606813905855,1606813912764
question,/aJk5WxahkyLEH5GCkQKkND/district,1606813912899,1606813915374
question,/aJk5WxahkyLEH5GCkQKkND/village,1606813915502,1606813917267
question,/aJk5WxahkyLEH5GCkQKkND/district,1606813917396,1606813919174
question,/aJk5WxahkyLEH5GCkQKkND/village,1606813919303,1606813924322
question,/aJk5WxahkyLEH5GCkQKkND/settlement_name,1606813924324,1606813926817
question,/aJk5WxahkyLEH5GCkQKkND/village,1606813926819,1606813928587
question,/aJk5WxahkyLEH5GCkQKkND/settlement_name,1606813928593,1606813940933
question,/aJk5WxahkyLEH5GCkQKkND/iset_code,1606813940936,1606813958445
question,/aJk5WxahkyLEH5GCkQKkND/location,1606813958447,1606813962133
question,/aJk5WxahkyLEH5GCkQKkND/mapping,1606813962136,1606813966821
question,/aJk5WxahkyLEH5GCkQKkND/intro,1606813966823,1606813967966
question,/aJk5WxahkyLEH5GCkQKkND/consent,1606813967968,1606813972373
question,/aJk5WxahkyLEH5GCkQKkND/ki_gender,1606813972375,1606813977824
question,/aJk5WxahkyLEH5GCkQKkND/ki_age,1606813977826,1606813983294
question,/aJk5WxahkyLEH5GCkQKkND/ki_1_role,1606813983296,1606813990376
question,/aJk5WxahkyLEH5GCkQKkND/ki_1_phone,1606813990378,1606814008754
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/popn_note,1606814008756,1606814009883
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/iset_population,1606814009885,1606814020255
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606814020256,1606814035801
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814035803,1606814041895
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606814041897,1606814043197
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/iset_population,1606814043200,1606814062045
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606814062047,1606814077264
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814077266,1606814108698
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814108700,1606814118015
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814118017,1606814130495
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814130498,1606814203264
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814203272,1606814204135
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814204137,1606814219619
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814219622,1606814220410
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/migrant_population,1606814220412,1606814221461
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814221463,1606814237467
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814237470,1606814245028
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_3mo_hhs,1606814245032,1606814251123
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814251125,1606814254938
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_hhs,1606814254939,1606814256346
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/prolonged_hhs,1606814256348,1606814257325
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_3mo_hhs,1606814257327,1606814300225
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/idp_prov_origin,1606814300228,1606814304525
question,/aJk5WxahkyLEH5GCkQKkND/popn_types/host_hhs,1606814304527,1606814347505
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/vuln_note,1606814347507,1606814359813
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/disability,1606814359815,1606814374715
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/chronic_ill,1606814374717,1606814405313
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/elderly,1606814405315,1606814424154
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/female_hoh,1606814424157,1606814430764
question,/aJk5WxahkyLEH5GCkQKkND/vulnerability/ethnic_groups,1606814430766,1606814446325
question,/aJk5WxahkyLEH5GCkQKkND/intentions/five_years,1606814446326,1606814461966
question,/aJk5WxahkyLEH5GCkQKkND/intentions/relocate_plan,1606814461967,1606814475936
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_note,1606814475938,1606814477004
question,/aJk5WxahkyLEH5GCkQKkND/intentions/relocate_plan,1606814477006,1606814482226
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_note,1606814482228,1606814483738
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_aware,1606814483739,1606814489624
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_concern,1606814489626,1606814494821
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_prevent,1606814494823,1606814501317
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_safeprac,1606814501319,1606814523807
question,/aJk5WxahkyLEH5GCkQKkND/covid19/covid_reponse/covid_info,1606814523813,1606814537894
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_note,1606814537896,1606814539037
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_points,1606814539039,1606814572714
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_type,1606814572717,1606814576535
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_distancing,1606814576537,1606814588483
question,/aJk5WxahkyLEH5GCkQKkND/wash/tap_sanitize,1606814588486,1606814589684
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_distancing,1606814589686,1606814592803
question,/aJk5WxahkyLEH5GCkQKkND/wash/tap_sanitize,1606814592805,1606814610129
question,/aJk5WxahkyLEH5GCkQKkND/wash/wash_gbv,1606814610130,1606814616133
question,/aJk5WxahkyLEH5GCkQKkND/wash/handwash_location,1606814616137,1606814624464
question,/aJk5WxahkyLEH5GCkQKkND/wash/water_barrier,1606814624466,1606814645956
question,/aJk5WxahkyLEH5GCkQKkND/health/health_note,1606814645963,1606814647337
question,/aJk5WxahkyLEH5GCkQKkND/health/outbreak,1606814647341,1606814648576
question,/aJk5WxahkyLEH5GCkQKkND/health/health_note,1606814648577,1606814650228
question,/aJk5WxahkyLEH5GCkQKkND/health/outbreak,1606814650230,1606814663143
question,/aJk5WxahkyLEH5GCkQKkND/health/health_where,1606814663145,1606814675075
question,/aJk5WxahkyLEH5GCkQKkND/health/health_distance,1606814675077,1606814680575
question,/aJk5WxahkyLEH5GCkQKkND/health/health_type,1606814680576,1606814683236
question,/aJk5WxahkyLEH5GCkQKkND/health/health_distance,1606814683237,1606814692045
question,/aJk5WxahkyLEH5GCkQKkND/health/health_type,1606814692047,1606814705154
question,/aJk5WxahkyLEH5GCkQKkND/health/health_gbv,1606814705156,1606814708447
question,/aJk5WxahkyLEH5GCkQKkND/health/trauma,1606814708449,1606814716043
question,/aJk5WxahkyLEH5GCkQKkND/health/health_use,1606814716046,1606814721673
question,/aJk5WxahkyLEH5GCkQKkND/health/health_barrier,1606814721675,1606814722734
question,/aJk5WxahkyLEH5GCkQKkND/health/health_use,1606814722736,1606814729665
question,/aJk5WxahkyLEH5GCkQKkND/health/health_barrier,1606814729667,1606814736445
question,/aJk5WxahkyLEH5GCkQKkND/health/health_use,1606814736446,1606814788031
question,/aJk5WxahkyLEH5GCkQKkND/health/trauma,1606814788034,1606814796632
question,/aJk5WxahkyLEH5GCkQKkND/health/health_use,1606814796634,1606814825813
question,/aJk5WxahkyLEH5GCkQKkND/health/health_barrier,1606814825815,1606814841113
question,/aJk5WxahkyLEH5GCkQKkND/health/covid_coping,1606814841115,1606814851879
question,/aJk5WxahkyLEH5GCkQKkND/health/mhpss_aware,1606814851881,1606814854624
question,/aJk5WxahkyLEH5GCkQKkND/health/covid_coping,1606814854626,1606814861075
question,/aJk5WxahkyLEH5GCkQKkND/health/mhpss_aware,1606814861077,1606814872296
question,/aJk5WxahkyLEH5GCkQKkND/health/mhpss_secondary,1606814872297,1606814890354
question,/aJk5WxahkyLEH5GCkQKkND/protection/protection_note,1606814890356,1606814891473
question,/aJk5WxahkyLEH5GCkQKkND/protection/tazkira,1606814891475,1606814900012
question,/aJk5WxahkyLEH5GCkQKkND/protection/safe_likert,1606814900014,1606814924467
question,/aJk5WxahkyLEH5GCkQKkND/protection/safety_men,1606814924469,1606814949695
question,/aJk5WxahkyLEH5GCkQKkND/protection/safety_women,1606814949697,1606814974929
question,/aJk5WxahkyLEH5GCkQKkND/protection/safety_boys,1606814974930,1606814976714
question,/aJk5WxahkyLEH5GCkQKkND/protection/safety_girls,1606814976716,1606814981265
question,/aJk5WxahkyLEH5GCkQKkND/protection/explosives,1606814981267,1606814982693
